2021_FED_NUM,2021_ED_NAMEE,2021_SHAPE_area,2023_FED_NUM,2023_ED_NAMEE,2023_POP_CNT,2023_PROV,2023_Shape_area,Intersect_Area,2021_POP_CNT
24065,Marc-Aurèle-Fortin,57576331.58250000328,24045,Marc-Aurèle-Fortin,104636,QC,57576331.95019999892,55934947.260,104636
24066,Saint-Hyacinthe--Bagot,1948975710.93000006676,24066,Saint-Hyacinthe—Bagot—Acton,105086,QC,1949182949.15000009537,1894367173.000,105086
24067,Saint-Jean,734289253.59800004959,24067,Saint-Jean,114617,QC,734289244.08000004292,711045031.300,114617
24069,Saint-Léonard--Saint-Michel,20862775.51550000161,24069,Saint-Léonard—Saint-Michel,112922,QC,19802232.34079999849,19234240.320,115553
24069,Saint-Léonard--Saint-Michel,20862775.51550000161,24026,Hochelaga—Rosemont-Est,110039,QC,24252693.54490000010,153059.680,115553
24069,Saint-Léonard--Saint-Michel,20862775.51550000161,24027,Honoré-Mercier,105434,QC,44887867.47070000321,877247.193,115553
24070,Saint-Maurice--Champlain,38967283906.59999847412,24070,Saint-Maurice—Champlain,111997,QC,38967283904.09999847412,38592965246.000,111997
24071,Salaberry--Suroît,2467802824.48999977112,24007,Beauharnois—Salaberry—Soulanges—Huntingdon,118474,QC,1987219357.83999991417,1826452958.000,119351
24071,Salaberry--Suroît,2467802824.48999977112,24017,Châteauguay—Les Jardins-de-Napierville,114947,QC,1553493859.57999992371,561145428.800,119351
59011,Delta,408524023.68400001526,59011,Delta,117734,BC,412118036.33399999142,408765528.600,110721
59012,Fleetwood--Port Kells,74078499.74099999666,59013,Fleetwood—Port Kells,117423,BC,53364065.24419999868,45401749.180,124987
59012,Fleetwood--Port Kells,74078499.74099999666,59017,Langley Township—Fraser Heights,117251,BC,210880510.50199997425,28776263.840,124987
10001,Avalon,9806182261.01000022888,10001,Avalon,81781,NL,8020015694.22000026703,7408622593.000,87191
10001,Avalon,9806182261.01000022888,10007,Terra Nova—The Peninsulas,76121,NL,37814404515.00000000000,2218147253.000,87191
10005,Long Range Mountains,57529814113.90000152588,10005,Long Range Mountains,81795,NL,57889445924.30000305176,57556625872.000,81716
10002,Bonavista--Burin--Trinity,35617478235.00000000000,10003,Central Newfoundland,74122,NL,57534818563.59999847412,179198135.600,71898
10002,Bonavista--Burin--Trinity,35617478235.00000000000,10007,Terra Nova—The Peninsulas,76121,NL,37814404515.00000000000,35154347732.000,71898
10003,Coast of Bays--Central--Notre Dame,57335896593.50000000000,10003,Central Newfoundland,74122,NL,57534818563.59999847412,57127665044.000,74201
10004,Labrador,334529296021.00000000000,10004,Labrador,26655,NL,334056287754.00000000000,34567216345.000,26655
10006,St. John's East,975515529.50399994850,10001,Avalon,81781,NL,8020015694.22000026703,17277502.690,87345
10006,St. John's East,975515529.50399994850,10006,St. John's East,85038,NL,905358984.22399997711,888191703.800,87345
10006,St. John's East,975515529.50399994850,10007,Terra Nova—The Peninsulas,76121,NL,37814404515.00000000000,56262728.710,87345
10007,St. John's South--Mount Pearl,621422511.80400002003,10001,Avalon,81781,NL,8020015694.22000026703,445207209.900,81544
