FED_NUM,ED_NAMEE,SHAPE_Area,pop_2021_CNT
24065,Marc-Aurèle-Fortin,57576331.58250000328,104636
24066,Saint-Hyacinthe--Bagot,1948975710.93000006676,105086
24067,Saint-Jean,734289253.59800004959,114617
24069,Saint-Léonard--Saint-Michel,20862775.51550000161,115553
24070,Saint-Maurice--Champlain,38967283906.59999847412,111997
24071,Salaberry--Suroît,2467802824.48999977112,119351
59011,Delta,408524023.68400001526,110721
59012,Fleetwood--Port Kells,74078499.74099999666,124987
10001,Avalon,9806182261.01000022888,87191
10005,Long Range Mountains,57529814113.90000152588,81716
10002,Bonavista--Burin--Trinity,35617478235.00000000000,71898
10003,Coast of Bays--Central--Notre Dame,57335896593.50000000000,74201
10004,Labrador,334529296021.00000000000,26655
10006,St. John's East,975515529.50399994850,87345
10007,St. John's South--Mount Pearl,621422511.80400002003,81544
24001,Abitibi--Baie-James--Nunavik--Eeyou,858585391830.00000000000,89087
24002,Abitibi--Témiscamingue,37660077948.40000152588,103735
24072,Shefford,1433742150.71000003815,115924
24068,Saint-Laurent,44253828.66719999909,102104
24073,Sherbrooke,104815699.98199997842,119038
24003,Ahuntsic-Cartierville,25064080.50239999965,118170
24004,Alfred-Pellan,125947804.25200000405,102020
24005,Argenteuil--La Petite-Nation,5508817522.35999965668,102311
24006,Avignon--La Mitis--Matane--Matapédia,18215460786.70000076294,70253
24007,Beauce,4244243159.84000015259,111034
24009,Bécancour--Nicolet--Saurel,3131636316.80000019073,96439
24010,Bellechasse--Les Etchemins--Lévis,3355637777.23000049591,120179
24011,Beloeil--Chambly,402898340.11099994183,125359
24012,Berthier--Maskinongé,4639094999.84000015259,105280
24014,Pierre-Boucher--Les Patriotes--Verchères,779349587.58500003815,103020
35074,Oshawa,85414680.04799999297,131067
24076,Trois-Rivières,145263220.33399999142,114064
35073,Oakville North--Burlington,92021515.08820000291,148936
24008,Beauport--Limoilou,42352246.11219999939,96064
24015,Bourassa,16191027.92390000075,105637
24016,Brome--Missisquoi,3033699714.19000005722,113913
24017,Brossard--Saint-Lambert,65307073.92230000347,114286
24018,Rimouski-Neigette--Témiscouata--Les Basques,9411832188.56999969482,85556
24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,13227226477.10000038147,95736
24021,Châteauguay--Lacolle,973791726.59399998188,105111
24022,Chicoutimi--Le Fjord,2819610386.98000001907,80593
24023,Compton--Stanstead,4811791558.11999988556,111088
24025,Drummond,1669833247.78999996185,107967
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,39174282.34989999980,134555
24078,Vimy,36518280.13260000199,119926
59021,North Vancouver,353111824.88099998236,123025
48019,Edmonton Strathcona,79840070.85780000687,102188
48020,Edmonton West,105389659.97699999809,134194
48021,Edmonton--Wetaskiwin,4945227771.86999988556,209431
24024,Dorval--Lachine--LaSalle,67662759.86300000548,119395
24019,Charlesbourg--Haute-Saint-Charles,117542963.96700000763,109690
35075,Ottawa Centre,38520975.57240000367,126360
35120,York South--Weston,26222120.80490000546,116757
59022,Pitt Meadows--Maple Ridge,2140661523.63000011444,110416
