,id,winner
0,10001,LIB
1,10002,LIB
2,10003,LIB
3,10004,LIB
4,10005,LIB
5,10006,LIB
6,10007,LIB
7,11001,LIB
8,11002,LIB
9,11003,LIB
10,11004,LIB
11,12001,LIB
12,12002,LIB
13,12003,LIB
14,12004,LIB
15,12005,LIB
16,12006,LIB
17,12007,LIB
18,12008,LIB
19,12009,LIB
20,12010,LIB
21,12011,LIB
22,13001,LIB
23,13002,LIB
24,13003,LIB
25,13004,LIB
26,13005,LIB
27,13006,LIB
28,13007,LIB
29,13008,LIB
30,13009,LIB
31,13010,LIB
32,24001,BQ
33,24002,BQ
34,24003,LIB
35,24004,LIB
36,24005,CON
37,24006,CON
38,24007,CON
39,24008,CON
40,24009,BQ
41,24010,CON
42,24011,BQ
43,24012,CON
44,24013,LIB
45,24014,LIB
46,24015,LIB
47,24016,CON
48,24017,CON
49,24018,CON
50,24019,CON
51,24020,CON
52,24021,BQ
53,24022,LIB
54,24023,BQ
55,24024,CON
56,24025,LIB
57,24026,LIB
58,24027,LIB
59,24028,LIB
60,24029,CON
61,24030,CON
62,24031,BQ
63,24032,BQ
64,24033,BQ
65,24034,LIB
66,24035,LIB
67,24036,CON
68,24037,LIB
69,24038,LIB
70,24039,CON
71,24040,CON
72,24041,LIB
73,24042,BQ
74,24043,LIB
75,24044,CON
76,24045,LIB
77,24046,CON
78,24047,CON
79,24048,LIB
80,24049,CON
81,24050,BQ
82,24051,CON
83,24052,LIB
84,24053,LIB
85,24054,LIB
86,24055,BQ
87,24056,LIB
88,24057,LIB
89,24058,CON
90,24059,LIB
91,24060,BQ
92,24061,CON
93,24062,CON
94,24063,BQ
95,24064,CON
96,24065,NDP
97,24066,BQ
98,24067,BQ
99,24068,LIB
100,24069,LIB
101,24070,LIB
102,24071,BQ
103,24072,LIB
104,24073,BQ
105,24074,CON
106,24075,BQ
107,24076,LIB
108,24077,LIB
109,24078,LIB
110,35001,LIB
111,35002,CON
112,35003,LIB
113,35004,CON
114,35005,CON
115,35006,LIB
116,35007,LIB
117,35008,CON
118,35009,LIB
119,35010,LIB
120,35011,LIB
121,35012,LIB
122,35013,LIB
123,35014,LIB
124,35015,CON
125,35016,CON
126,35017,LIB
127,35018,LIB
128,35019,LIB
129,35020,LIB
130,35021,CON
131,35022,LIB
132,35023,LIB
133,35024,LIB
134,35025,CON
135,35026,LIB
136,35027,CON
137,35028,CON
138,35029,LIB
139,35030,LIB
140,35031,LIB
141,35032,CON
142,35033,LIB
143,35034,CON
144,35035,CON
145,35036,LIB
146,35037,LIB
147,35038,LIB
148,35039,LIB
149,35040,CON
150,35041,LIB
151,35042,CON
152,35043,LIB
153,35044,LIB
154,35045,CON
155,35046,LIB
156,35047,LIB
157,35048,LIB
158,35049,LIB
159,35050,LIB
160,35051,CON
161,35052,CON
162,35053,LIB
163,35054,NDP
164,35055,LIB
165,35056,LIB
166,35057,LIB
167,35058,CON
168,35059,LIB
169,35060,CON
170,35061,LIB
171,35062,LIB
172,35063,LIB
173,35064,LIB
174,35065,LIB
175,35066,LIB
176,35067,LIB
177,35068,LIB
178,35069,CON
179,35070,CON
180,35071,CON
181,35072,LIB
182,35073,LIB
183,35074,CON
184,35075,LIB
185,35076,LIB
186,35077,LIB
187,35078,CON
188,35079,LIB
189,35080,LIB
190,35081,LIB
191,35082,LIB
192,35083,CON
193,35084,CON
194,35085,CON
195,35086,CON
196,35087,LIB
197,35088,LIB
198,35089,LIB
199,35090,CON
200,35091,LIB
201,35092,LIB
202,35093,LIB
203,35094,LIB
204,35095,LIB
205,35096,LIB
206,35097,LIB
207,35098,CON
208,35099,CON
209,35100,LIB
210,35101,LIB
211,35102,LIB
212,35103,LIB
213,35104,LIB
214,35105,LIB
215,35106,CON
216,35107,LIB
217,35108,LIB
218,35109,LIB
219,35110,LIB
220,35111,LIB
221,35112,LIB
222,35113,LIB
223,35114,LIB
